month,company_name_short,company_name,gross_written_current,gross_written_yoy_reported_pct,gross_loss_ratio_current,gross_loss_ratio_diff_pp,gross_loss_ratio_ma3,retained_premium_current,retained_loss_ratio_current,retained_loss_ratio_ma3
2023-01,삼성,삼성화재,3691603179,85.7,90.6,-1.1,90.6,3605627469,91,91
2023-01,DB,DB손해보험,1407467533,4.3,80.6,-98.7,80.6,1315309261,81.7,81.7
2023-01,현대,현대해상,1389096792,3.8,83.1,-5,83.1,1297582670,84.9,84.9
2023-01,메리츠,메리츠화재,1039213344,19.6,81.9,4.2,81.9,956517998,83.4,83.4
2023-01,KB,KB손해보험,1171116689,0.3,76.5,-14.7,76.5,1032923617,82.8,82.8
2023-01,한화,한화손해보험,499247336,-2.1,84.2,-0.7,84.2,477411337,86.5,86.5
2023-01,롯데,롯데손해보험,751528797,115.6,99.9,-4.6,99.9,725965598,99.4,99.4
2023-01,흥국,흥국화재,264308866,-3.4,89.2,-2.2,89.2,244776633,89.5,89.5
2023-01,서울보증,서울보증보험,157235653,-11,54.1,36.3,54.1,145725259,53.3,53.3
2023-01,농협,농협손해보험,349182072,-1.3,81.5,9.5,81.5,241327238,89,89
2023-01,캐롯,캐롯손해보험,28216915,51.5,89.1,-2,89.1,13029651,99.5,99.5
2023-02,삼성,삼성화재,5367954998,46.2,87.5,1.9,89.05,5240621984,88.3,89.65
2023-02,DB,DB손해보험,2872707074,9.9,82.2,-1.6,81.4,2703856411,82.4,82.05000000000001
2023-02,현대,현대해상,3040657921,17.7,83.8,-0.4,83.44999999999999,2873319870,86.1,85.5
2023-02,메리츠,메리츠화재,1985989919,15.4,80.9,5.3,81.4,1844294384,81.8,82.6
2023-02,KB,KB손해보험,2187331290,-0.2,80.1,-5.5,78.3,1970718626,83.3,83.05
2023-02,한화,한화손해보험,1000213525,-4.6,84.2,-0.2,84.2,958436193,86.3,86.4
2023-02,롯데,롯데손해보험,1101735513,102.1,99.5,-13.4,99.7,1055495938,99.8,99.6
2023-02,흥국,흥국화재,523650756,-3,87.9,-1.2,88.55000000000001,490015640,89,89.25
2023-02,서울보증,서울보증보험,306813822,-1.9,63.1,32.1,58.6,303117801,67.2,60.25
2023-02,농협,농협손해보험,902165355,0.1,83.4,7.8,82.45,531828493,88,88.5
2023-02,캐롯,캐롯손해보험,57274619,51.4,84.2,-1.4,86.65,27816560,93.4,96.45
2023-03,삼성,삼성화재,7205358372,30.6,86.1,2.5,88.06666666666666,6993486153,86.9,88.73333333333335
2023-03,DB,DB손해보험,4618054001,16,83.3,1.8,82.03333333333335,4363404389,83.1,82.4
2023-03,현대,현대해상,4523801059,13,84.7,1.7,83.86666666666666,4259716237,86.2,85.73333333333333
2023-03,메리츠,메리츠화재,3128201157,19.9,82.2,6.2,81.66666666666667,2923286524,83.2,82.8
2023-03,KB,KB손해보험,3283565540,-1,85.1,1,80.56666666666666,2957559031,84.1,83.39999999999999
2023-03,한화,한화손해보험,1519754986,-3.8,84.4,0.4,84.26666666666667,1455621480,86.3,86.36666666666667
2023-03,롯데,롯데손해보험,1681460234,114.3,94.5,-16.2,97.96666666666665,1613838952,94.7,97.96666666666665
2023-03,흥국,흥국화재,791374281,-3.3,89.8,0.6,88.96666666666668,715552786,92.4,90.3
2023-03,서울보증,서울보증보험,477030203,0.5,61.9,27.2,59.699999999999996,463606868,65.3,61.93333333333334
