month,item_name_std,gross_written_current,gross_written_yoy_reported_pct,gross_loss_ratio_current,gross_loss_ratio_diff_pp,gross_loss_ratio_ma3,retained_premium_current,retained_loss_ratio_current,gross_written_current_yoy_calc,gross_written_current_ma3,gross_loss_ratio_current_yoy_calc,gross_loss_ratio_current_ma3,retained_premium_current_yoy_calc,retained_premium_current_ma3,retained_loss_ratio_current_yoy_calc,retained_loss_ratio_current_ma3
2023-01,합계,11097534183,27.1,85.2,-18.5,85.2,10725260576,86.4,,11097534183,,85.2,,10725260576,,86.4
2023-01,일반보험,1181378076,,54.55668081857986,,,,,,1181378076,,54.55668081857986,,,,
2023-01,장기보험,5185453870,2.9,81.6,-0.9,81.6,5044859424,80.9,,5185453870,,81.6,,5044859424,,80.9
2023-01,자동차보험,1618623816,1.6,80,-2.5,80,1588220091,80.4,,1618623816,,80,,1588220091,,80.4
2023-01,화재,23707294,-6.8,51.8,26.2,51.8,10536347,75.7,,23707294,,51.8,,10536347,,75.7
2023-01,해상,73001232,26.4,14.2,9.9,14.2,19930735,47.9,,73001232,,14.2,,19930735,,47.9
2023-01,보증,160483492,-10.2,54,36.3,54,133526247,54.7,,160483492,,54,,133526247,,54.7
2023-01,기술,42668228,9.4,161,148.4,161,18627372,108.2,,42668228,,161,,18627372,,108.2
2023-01,책임,138162442,12.1,-6.2,-63.6,-6.2,96254686,48.9,,138162442,,-6.2,,96254686,,48.9
2023-01,상해,341635320,1,86.5,-5.2,86.5,293408699,84.8,,341635320,,86.5,,293408699,,84.8
2023-01,종합,168624962,12.2,32.3,-209.6,32.3,40481742,56.6,,168624962,,32.3,,40481742,,56.6
2023-01,기타특종,169292431,2.8,59.8,-158.5,59.8,106365191,64.6,,169292431,,59.8,,106365191,,64.6
2023-01,권원,7575394,-13.3,-5.6,0.9,-5.6,6909821,-4.9,,7575394,,-5.6,,6909821,,-4.9
2023-01,해외원보험,56227281,8,43.2,1,43.2,28804977,55.2,,56227281,,43.2,,28804977,,55.2
2023-02,합계,20025547867,19,84.3,-0.3,84.75,19377128855,85.9,,15561541025,,84.75,,15051194715.5,,86.15
2023-02,일반보험,2334177859,,61.888763144719725,,,,,,1757777967.5,,58.2227219816498,,,,
2023-02,장기보험,10432530390,3.3,80.9,-0.4,81.25,10161843039,80.7,,7808992130,,81.25,,7603351231.5,,80.80000000000001
2023-02,자동차보험,3189905945,3.4,78.8,-0.8,79.4,3145315304,79.2,,2404264880.5,,79.4,,2366767697.5,,79.80000000000001
2023-02,화재,47676006,2.5,50.2,8.1,51,31036307,70.2,,35691650,,51,,20786327,,72.95
2023-02,해상,147001668,22,42.8,26.8,28.5,52503901,64.1,,110001450,,28.5,,36217318,,56
2023-02,보증,312049578,-1.2,63,32.1,58.5,295872764,64.6,,236266535,,58.5,,214699505.5,,59.65
2023-02,기술,70594532,8.8,110,100.8,135.5,43212274,70.6,,56631380,,135.5,,30919823,,89.4
2023-02,책임,265260054,14.4,38.4,-7.6,16.099999999999998,195417955,62.7,,201711248,,16.099999999999998,,145836320.5,,55.8
2023-02,상해,515283758,6.4,93,3.7,89.75,445512487,91.4,,428459539,,89.75,,369460593,,88.1
2023-02,종합,288195449,12.5,36.7,-108.6,34.5,102451296,62.5,,228410205.5,,34.5,,71466519,,59.55
2023-02,기타특종,557431266,-0.5,64.4,-82.2,62.1,250706832,66.2,,363361848.5,,62.1,,178536011.5,,65.4
2023-02,권원,16898725,-12.7,8.8,0.6,1.6000000000000005,15459007,8.8,,12237059.5,,1.6000000000000005,,11184414,,1.9500000000000002
2023-02,해외원보험,113786823,6.5,31.8,-4.5,37.5,64797485,55.8,,85007052,,37.5,,46801231,,55.5
2023-03,합계,29634890179,16.5,84.6,1.7,84.7,28819986876,85.5,,20252657409.666668,,84.7,,19640792102.333332,,85.93333333333334
2023-03,일반보험,3504987213,,66.06021779423821,,,,,,2340181049.3333335,,60.83522058584594,,,,
2023-03,장기보험,15787589140,3.4,81.7,-0.3,81.39999999999999,15362155552,81.3,,10468524466.666666,,81.39999999999999,,10189619338.333334,,80.96666666666668
2023-03,자동차보험,5033932810,3.2,77.7,1.3,78.83333333333333,4970669953,77.7,,3280820857,,78.83333333333333,,3234735116,,79.10000000000001
2023-03,화재,74736152,2.5,50.3,-6,50.76666666666667,53941117,61.3,,48706484,,50.76666666666667,,31837923.666666668,,69.06666666666666
2023-03,해상,224725471,21.3,43.5,23.7,33.5,102960517,63.8,,148242790.33333334,,33.5,,58465051,,58.6
2023-03,보증,484637598,1.1,60.8,26.3,59.26666666666667,450528966,63.5,,319056889.3333333,,59.26666666666667,,293309325.6666667,,60.93333333333334
2023-03,기술,107968325,2.4,80.5,69.2,117.16666666666667,68651311,61.1,,73743695,,117.16666666666667,,43496985.666666664,,79.96666666666667
2023-03,책임,449525640,12.4,39.1,-8.5,23.766666666666666,356165879,54.2,,284316045.3333333,,23.766666666666666,,215946173.33333334,,55.26666666666667
2023-03,상해,695926114,7.9,95.6,9.1,91.7,605285212,95.1,,517615064,,91.7,,448068799.3333333,,90.43333333333332
2023-03,종합,495203177,12,77.6,-17.6,48.86666666666667,165086373,87,,317341196,,48.86666666666667,,102673137,,68.7
2023-03,기타특종,751816586,-1.3,66.7,-43.7,63.63333333333333,462712681,74.5,,492846761,,63.63333333333333,,273261568,,68.43333333333334
2023-03,권원,27690335,-5.6,13.1,5.1,5.433333333333334,25477048,13.3,,17388151.333333332,,5.433333333333334,,15948625.333333334,,5.733333333333334
2023-03,해외원보험,192757815,9.7,35.3,-6.6,36.766666666666666,113621641,60,,120923973,,36.766666666666666,,69074701,,57
2023-04,합계,38234839210,14.1,84,1.7,84.3,37129475725,85,,29298425752,,84.3,,28442197152,,85.46666666666665
2023-04,일반보험,4530974808,,68.82928241725506,,,,,,3456713293.3333335,,65.59275445207099,,,,
2023-04,장기보험,21062803096,3.5,81.5,-0.4,81.36666666666667,20498157083,81.3,,15760974208.666666,,81.36666666666667,,15340718558,,81.10000000000001
2023-04,자동차보험,6681772267,2.2,77.4,0.6,77.96666666666667,6600139450,77.5,,4968537007.333333,,77.96666666666667,,4905374902.333333,,78.13333333333334
2023-04,화재,98565211,1.4,57.9,4.8,52.800000000000004,68500267,71.7,,73659123,,52.800000000000004,,51159230.333333336,,67.73333333333333
2023-04,해상,314719626,18.7,44.7,4.1,43.666666666666664,131145631,63.4,,228815588.33333334,,43.666666666666664,,95536683,,63.76666666666666
2023-04,보증,644734026,3.6,60,27.5,61.26666666666667,602443304,62,,480473734,,61.26666666666667,,449615011.3333333,,63.36666666666667
2023-04,기술,131835645,-8.5,54.2,43.5,81.56666666666666,74497323,47,,103466167.33333333,,81.56666666666666,,62120302.666666664,,59.56666666666666
2023-04,책임,546448936,14.1,43,-8.5,40.166666666666664,434147586,54.2,,420411543.3333333,,40.166666666666664,,328577140,,57.03333333333334
2023-04,상해,846846249,9.7,93.7,8.4,94.10000000000001,738681477,93.6,,686018707,,94.10000000000001,,596493058.6666666,,93.36666666666667
2023-04,종합,706119512,13.5,71.3,-2.5,61.86666666666667,208964015,84.6,,496506046,,61.86666666666667,,158833894.66666666,,78.03333333333333
2023-04,기타특종,932378135,-1.1,88.1,-5.7,73.06666666666668,616862126,78,,747208662.3333334,,73.06666666666668,,443427213,,72.89999999999999
2023-04,권원,35432848,-8.3,16.1,4.5,12.666666666666666,32269237,16.3,,26673969.333333332,,12.666666666666666,,24401764,,12.800000000000002
2023-04,해외원보험,273894620,10.9,37.8,-8.2,34.96666666666666,149698563,59.7,,193479752.66666666,,34.96666666666666,,109372563,,58.5
2023-05,합계,46825397064,12,83.9,1.5,84.16666666666667,45498540151,84.5,,38231708817.666664,,84.16666666666667,,37149334250.666664,,85
2023-05,일반보험,5726813709,,69.2029399785213,,,,,,4587591910,,68.03081339667152,,,,
2023-05,장기보험,26184792197,2.9,81.6,0,81.6,25495340199,81.4,,21011728144.333332,,81.6,,20451884278,,81.33333333333333
2023-05,자동차보험,8393138960,1.8,77.6,0.4,77.56666666666668,8296064841,77.6,,6702948012.333333,,77.56666666666668,,6622291414.666667,,77.6
2023-05,화재,123976062,0.8,55.7,-2.9,54.633333333333326,90366644,68.6,,99092475,,54.633333333333326,,70936009.33333333,,67.2
2023-05,해상,399425588,10.2,44.5,5.4,44.23333333333333,167250395,64.3,,312956895,,44.23333333333333,,133785514.33333333,,63.833333333333336
2023-05,보증,820732387,6.4,62.4,26.8,61.06666666666666,775955714,64,,650034670.3333334,,61.06666666666666,,609642661.3333334,,63.166666666666664
2023-05,기술,169526758,-4.4,84,74.1,72.89999999999999,100370575,61,,136443576,,72.89999999999999,,81173069.66666667,,56.36666666666667
2023-05,책임,675024004,14.1,42.3,-5.6,41.46666666666666,530985512,53.9,,556999526.6666666,,41.46666666666666,,440432992.3333333,,54.1
2023-05,상해,984090666,10.8,93.3,8.7,94.2,862073263,93.4,,842287676.3333334,,94.2,,735346650.6666666,,94.03333333333335
2023-05,종합,946007275,12,65.2,-19.6,71.36666666666666,322655289,76.6,,715776654.6666666,,71.36666666666666,,232235225.66666666,,82.73333333333333
2023-05,기타특종,1201029493,0,91.1,-3.7,81.96666666666667,751498426,75.9,,961741404.6666666,,81.96666666666667,,610357744.3333334,,76.13333333333334
2023-05,권원,49185094,1.1,16.2,3.8,15.133333333333335,45119677,16.8,,37436092.333333336,,15.133333333333335,,34288654,,15.466666666666669
2023-05,해외원보험,357816382,12.2,38.9,-5.2,37.333333333333336,192593815,59.2,,274822939,,37.333333333333336,,151971339.66666666,,59.63333333333333
2023-06,합계,57976498678,11.2,83.9,1.3,83.93333333333334,56434242685,84.5,,47678911650.666664,,83.93333333333334,,46354086187,,84.66666666666667
2023-06,일반보험,7126735126,,67.98760827195922,,,,,,5794841214.333333,,68.67327688924519,,,,
2023-06,장기보험,31709898526,3.8,80.9,-0.3,81.33333333333333,30877801833,80.6,,26319164606.333332,,81.33333333333333,,25623766371.666668,,81.1
2023-06,자동차보험,10167987165,2.3,77.8,0.9,77.60000000000001,10051608206,77.8,,8414299464,,77.60000000000001,,8315937499,,77.63333333333333
2023-06,화재,152438318,1.5,59.9,9,57.833333333333336,114048048,75,,124993197,,57.833333333333336,,90971653,,71.76666666666667
2023-06,해상,473227439,11,39.3,-4.4,42.833333333333336,203867999,56.4,,395790884.3333333,,42.833333333333336,,167421341.66666666,,61.36666666666667
2023-06,보증,997159052,7.2,64.7,28.7,62.366666666666674,934420496,66.8,,820875155,,62.366666666666674,,770939838,,64.26666666666667
2023-06,기술,215965040,-2.9,79.8,70.4,72.66666666666667,128427334,65.2,,172442481,,72.66666666666667,,101098410.66666667,,57.73333333333333
2023-06,책임,856075749,12.1,45,-7.2,43.43333333333334,666919675,55.8,,692516229.6666666,,43.43333333333334,,544017591,,54.633333333333326
2023-06,상해,1135158357,12.1,93.8,8.9,93.60000000000001,996031119,93.9,,988698424,,93.60000000000001,,865595286.3333334,,93.63333333333333
2023-06,종합,1331697877,16.2,60.8,-14.5,65.76666666666667,526466763,76.3,,994608221.3333334,,65.76666666666667,,352695355.6666667,,79.16666666666667
2023-06,기타특종,1454190104,0.8,86,-3.2,88.39999999999999,987275969,75,,1195865910.6666667,,88.39999999999999,,785212173.6666666,,76.3
2023-06,권원,59990950,2.8,13.4,-0.9,15.233333333333333,55017403,14.1,,48202964,,15.233333333333333,,44135439,,15.733333333333334
2023-06,해외원보험,450832240,12.1,51.5,5.8,42.73333333333333,246471059,69.1,,360847747.3333333,,42.73333333333333,,196254479,,62.666666666666664
2023-07,합계,67512228588,11.3,84.3,1.8,84.03333333333335,65681854069,84.7,,57438041443.333336,,84.03333333333335,,55871545635,,84.56666666666666
2023-07,일반보험,8196490435,,68.55743864755695,,,,,,7016679756.666667,,68.58266229934581,,,,
2023-07,장기보험,37101327431,3.9,80.9,-0.2,81.13333333333334,36129010965,80.6,,31665339384.666668,,81.13333333333334,,30834050999,,80.86666666666666
2023-07,자동차보험,11867104996,2,78,0.8,77.8,11730638263,78,,10142743707,,77.8,,10026103770,,77.8
2023-07,화재,177765685,1.1,60.1,9.1,58.56666666666666,130001017,74.7,,151393355,,58.56666666666666,,111471903,,72.76666666666667
2023-07,해상,552865646,10.1,39.3,-4.4,41.03333333333333,234854184,54.4,,475172891,,41.03333333333333,,201990859.33333334,,58.36666666666667
2023-07,보증,1137643662,7,66.5,28.1,64.53333333333333,1067637722,68.3,,985178367,,64.53333333333333,,926004644,,66.36666666666667
2023-07,기술,244482351,-9.6,75.6,65.6,79.8,135673949,70.3,,209991383,,79.8,,121490619.33333333,,65.5
2023-07,책임,988755696,10.5,46.1,-4.7,44.46666666666667,768521525,57.4,,839951816.3333334,,44.46666666666667,,655475570.6666666,,55.699999999999996
2023-07,상해,1312796458,13.4,93.1,8.1,93.39999999999999,1156729104,93.2,,1144015160.3333333,,93.39999999999999,,1004944495.3333334,,93.5
2023-07,종합,1533973518,14.4,62.3,-6.4,62.76666666666667,572963685,78.4,,1270559556.6666667,,62.76666666666667,,474028579,,77.1
2023-07,기타특종,1631888625,1.4,86.3,0,87.8,1137177305,74.8,,1429036074,,87.8,,958650566.6666666,,75.23333333333333
2023-07,권원,71104102,5.4,16.8,3.1,15.466666666666669,65282272,16.8,,60093382,,15.466666666666669,,55139784,,15.9
2023-07,해외원보험,545214692,13.4,55,6.3,48.46666666666667,285050139,70.5,,451287771.3333333,,48.46666666666667,,241371671,,66.26666666666667
2023-08,합계,74179115352,7,84.2,1.7,84.13333333333333,72280847579,84.3,,66555947539.333336,,84.13333333333333,,64798981444.333336,,84.5
2023-08,일반보험,9098055899,,72.9130099370804,,,,,,8140427153.333333,,69.81935228553219,,,,
2023-08,장기보험,42517565609,4,81,0,80.93333333333334,41402737645,80.7,,37109597188.666664,,80.93333333333334,,36136516814.333336,,80.63333333333333
2023-08,자동차보험,13513163369,1.7,78.5,-0.1,78.10000000000001,13361373886,78.5,,11849418510,,78.10000000000001,,11714540118.333334,,78.10000000000001
2023-08,화재,202679035,1.1,59.2,-1.6,59.73333333333333,151801300,72,,177627679.33333334,,59.73333333333333,,131950121.66666667,,73.89999999999999
2023-08,해상,631289798,9.6,38.9,-4.8,39.166666666666664,273214353,53,,552460961,,39.166666666666664,,237312178.66666666,,54.6
2023-08,보증,1291062518,8.1,65.8,28.4,65.66666666666667,1218635400,67.1,,1141955077.3333333,,65.66666666666667,,1073564539.3333334,,67.39999999999999
2023-08,기술,270499366,-8,80.1,59.4,78.49999999999999,154544093,80.7,,243648919,,78.49999999999999,,139548458.66666666,,72.06666666666666
2023-08,책임,1113885011,12.3,44.6,-8.1,45.23333333333333,869036482,59.1,,986238818.6666666,,45.23333333333333,,768159227.3333334,,57.43333333333333
