month,product_group,monthly_first_premium_flow,monthly_first_premium_yoy,monthly_first_premium_ma3,monthly_renewal_premium_flow,monthly_renewal_premium_yoy,monthly_renewal_premium_ma3,lump_sum_first_premium_flow,lump_sum_first_premium_yoy,total_amount_flow,total_amount_yoy,total_amount_ma3
2023-01,원리금보장형장기손해보험합계,1169629085,,1169629085,242329113849,,242329113849,-749011,,243673878973,,243673878973
2023-01,개인보험,1169216863,,1169216863,242272494967,,242272494967,-749011,,243616694670,,243616694670
2023-01,보장성보험,1166734665,,1166734665,238891900707,,238891900707,144159,,240224548921,,240224548921
2023-01,저축성보험,2482198,,2482198,3380594260,,3380594260,-893170,,3392145749,,3392145749
2023-01,단체보험,412222,,412222,56618882,,56618882,0,,57184303,,57184303
2023-01,표준형,598674453,,598674453,196393535823,,196393535823,144159,,197140370174,,197140370174
2023-01,무저해지환급형,568060212,,568060212,42498364884,,42498364884,0,,43084178747,,43084178747
2023-01,표준형_질병보험,182556559,,182556559,19570009434,,19570009434,50455,,19799995297,,19799995297
2023-01,표준형_상해,118723642,,118723642,148072453563,,148072453563,20842,,148258056121,,148258056121
2023-01,표준형_실손의료,84594031,,84594031,5398607954,,5398607954,0,,5483583500,,5483583500
2023-01,표준형_운전자,82759544,,82759544,7378110973,,7378110973,0,,7468798177,,7468798177
2023-01,표준형_어린이,52042503,,52042503,12446105332,,12446105332,2194,,12509398100,,12509398100
2023-01,표준형_치매간병,61187647,,61187647,1531898030,,1531898030,0,,1593903722,,1593903722
2023-01,무저해지형_질병보험,320630077,,320630077,17001260174,,17001260174,0,,17332784915,,17332784915
2023-01,무저해지형_상해,142690141,,142690141,12309761860,,12309761860,0,,12452996806,,12452996806
2023-01,무저해지형_어린이,86426010,,86426010,11456661153,,11456661153,0,,11543095630,,11543095630
2023-01,무저해지형_치매간병,16436271,,16436271,1724296321,,1724296321,0,,1746843108,,1746843108
2023-02,원리금보장형장기손해보험합계,-1032843672,,68392706.5,-232197546353,,5065783748,37565727,,-233318678242,,5177600365.5
2023-02,개인보험,-1033225846,,67995508.5,-232177270520,,5047612223.5,37565727,,-233298982669,,5158856000.5
2023-02,보장성보험,-1030982504,,67876080.5,-228940839709,,4975530499,152457,,-230094485040,,5065031940.5
2023-02,저축성보험,-2243342,,119428,-3236430811,,72081724.5,37413270,,-3204497629,,93824060
2023-02,단체보험,382174,,397198,-20275833,,18171524.5,0,,-19695573,,18744365
2023-02,표준형,-499653515,,49510469,-187659070571,,4367232626,152457,,-188284069809,,4428150182.5
2023-02,무저해지환급형,-531328989,,18365611.5,-41281769138,,608297873,0,,-41810415231,,636881758
2023-02,표준형_질병보험,-157287043,,12634758,-16704620156,,1432694639,-49929,,-16905567663,,1447213817
2023-02,표준형_상해,-92698565,,13012538.5,-145736847991,,1167802786,19091,,-145889433890,,1184311115.5
2023-02,표준형_실손의료,-79469997,,2562017,-5015065440,,191771257,0,,-5094187608,,194697946
2023-02,표준형_운전자,-64026961,,9366291.5,-6520134649,,428988162,0,,-6589349939,,439724119
2023-02,표준형_어린이,-44076773,,3982865,-11630059354,,408022989,10664,,-11684972953,,412212573.5
2023-02,표준형_치매간병,-58922761,,1132443,-1387373605,,72262212.5,3070,,-1446278342,,73812690
2023-02,무저해지형_질병보험,-302005786,,9312145.5,-16511809264,,244725455,0,,-16823721119,,254531898
2023-02,무저해지형_상해,-134094387,,4297877,-12017468724,,146146568,0,,-12151066360,,150965223
2023-02,무저해지형_어린이,-77863659,,4281175.5,-11079823570,,188418791.5,0,,-11157675385,,192710122.5
2023-02,무저해지형_치매간병,-15548886,,443692.5,-1667397907,,28449207,0,,-1670648249,,38097429.5
2023-03,원리금보장형장기손해보험합계,84233255,,73672889.33333333,5206854222,,5112807239.333333,44481274,,5389449135,,5248216622
2023-03,개인보험,83856142,,73282386.33333333,5185494465,,5093572970.666667,44481274,,5367282763,,5228331588
2023-03,보장성보험,83705999,,73152720,5114989914,,5022016970.666667,405997,,5248316524,,5126126801.666667
2023-03,저축성보험,150143,,129666.33333333333,70504551,,71556000,44075277,,118966239,,102204786.33333333
2023-03,단체보험,377113,,390503,21359757,,19234268.666666668,0,,22166372,,19885034
2023-03,표준형,58482263,,52501067,4453344053,,4395936435,405997,,4530258567,,4462186310.666667
2023-03,무저해지환급형,25223736,,20651653,661645861,,626080535.6666666,0,,718057957,,663940491
2023-03,표준형_질병보험,13000970,,12756828.666666666,962322452,,1275903910,185026,,977902056,,1290776563.3333333
2023-03,표준형_상해,16601090,,14208722.333333334,1752291469,,1362632347,11266,,1774699813,,1381107348
2023-03,표준형_실손의료,3035306,,2719780,198723848,,194088787.33333334,0,,202459574,,197285155.33333334
2023-03,표준형_운전자,11020511,,9917698,436903681,,431626668.3333333,0,,449802078,,443083438.6666667
2023-03,표준형_어린이,6248086,,4737938.666666667,370473977,,395506651.6666667,10477,,377086739,,400503962
2023-03,표준형_치매간병,800707,,1021864.3333333334,72783908,,72436111,-3070,,74831397,,74152259
2023-03,무저해지형_질병보험,8280149,,8968146.666666666,229449280,,239633396.66666666,0,,239214523,,249426106.33333334
2023-03,무저해지형_상해,10275807,,6290520.333333333,207074739,,166455958.33333334,0,,218349213,,173426553
2023-03,무저해지형_어린이,6300619,,4954323.333333333,198471102,,191769561.66666666,0,,204798373,,196739539.33333334
2023-03,무저해지형_치매간병,428603,,438662.6666666667,27766443,,28221619,0,,56873590,,44356149.666666664
2023-04,원리금보장형장기손해보험합계,71366552.88999999,,-292414621.37,5150790474.724998,,-73946633885.425,4027562.5849999934,,5260876151.953999,,-74222784318.34866
2023-04,개인보험,69860539.39499998,,-293169721.535,5119875135.748001,,-73957300306.41734,4027562.5849999934,,5228087306.305,,-74234537533.23167
2023-04,보장성보험,69752919.95499998,,-292507861.6816667,5055875224.473,,-72923324856.84233,201592.58499999996,,5156979604.689999,,-73229729637.10333
2023-04,저축성보험,107619.44,,-661859.8533333334,63999911.274999976,,-1033975449.5749999,3825970,,71107701.61500001,,-1004807896.1283334
2023-04,단체보험,1506013.495,,755100.165,30915338.976999998,,10666420.992333332,0,,32788845.649000004,,11753214.883000001
2023-04,표준형,48584575.03299999,,-130862225.65566666,4398987050.716999,,-59602246489.09433,201592.58499999996,,4460762030.424999,,-59764349737.19167
2023-04,무저해지환급형,21168344.922000006,,-161645636.026,656888173.756,,-13321078367.748001,0,,696217574.2649999,,-13465379899.911667
2023-04,표준형_질병보험,11440962.759000003,,-44281703.413666666,1271211960.486,,-4823695247.838,61.05799999998999,,1284442770.9329996,,-4881074278.689
2023-04,표준형_상해,12180534.086000003,,-21305646.971333332,1356443353.953,,-47542704389.349,3719.527000000002,,1373102558.2189999,,-47580543839.593666
2023-04,표준형_실손의료,2721423.971999999,,-24571089.00933333,201858872.22300005,,-1538160906.5923336,0,,204866544.385,,-1562287163.205
2023-04,표준형_운전자,10517626.450000003,,-14162941.183333332,433802548.34599996,,-1883142806.5513334,0,,445827658.7049999,,-1897906734.0983334
2023-04,표준형_어린이,4239126,,-11196520.333333334,396602481.0309999,,-3620994298.6563334,0,,401025606.0309999,,-3635620202.6563334
2023-04,표준형_치매간병,593444.497,,-19176203.167666666,71475874.32,,-414371274.2266667,0,,72746540.18699998,,-432900134.93766665
2023-04,무저해지형_질병보험,9461851.185000002,,-94754595.27166666,252942837.84399998,,-5343139048.718667,0,,263097193.89999998,,-5440469800.7
2023-04,무저해지형_상해,6109313.138,,-39236422.28733333,175999212.84000003,,-3878131590.72,0,,182842803.97800004,,-3916624781.0073333
2023-04,무저해지형_어린이,5281001.153999999,,-22094012.948666666,197190470.43799996,,-3561387332.5206666,0,,202473411.592,,-3583467866.802667
2023-04,무저해지형_치매간병,316179.44500000007,,-4934701.185,30755652.634000003,,-536291937.122,0,,47804164.79499999,,-521990164.73499995
2023-05,원리금보장형장기손해보험합계,73066870.11000001,,76222226,5174360776.275002,,5177335157.666667,1520845.4150000066,,5282733333.046001,,5311019540
2023-05,개인보험,72561030.60500002,,75425904,5151724080.251999,,5152364560.333333,1520845.4150000066,,5259246336.695,,5284872135.333333
2023-05,보장성보험,71605751.04500002,,75021556.66666667,5090839677.527,,5087234938.666667,863295.415,,5194502155.310001,,5199932761.333333
2023-05,저축성보험,955279.56,,404347.3333333333,60884402.725000024,,65129621.666666664,657550,,64744181.38499999,,84939374
2023-05,단체보험,505839.5049999999,,796322,22636696.023000002,,24970597.333333332,0,,23486996.350999996,,26147404.666666668
2023-05,표준형,52613890.96700001,,53226909.666666664,4418842472.283001,,4423724525.333333,776426.415,,4488238581.575001,,4493086393
2023-05,무저해지환급형,18991860.077999994,,21794647,671997205.244,,663510413.3333334,86869,,706263573.7350001,,706846368.3333334
2023-05,표준형_질병보험,13651532.240999997,,12697821.666666666,1278351588.514,,1170628667,-181694.058,,1294055120.0670004,,1185466649
2023-05,표준형_상해,10253439.913999997,,13011688,1365912765.047,,1491549196,362262.473,,1380003647.7810001,,1509268673
2023-05,표준형_실손의료,3430516.028000001,,3062415.3333333335,206277068.77699995,,202286596.33333334,-50967,,210850255.615,,206058791.33333334
2023-05,표준형_운전자,7583575.549999997,,9707237.666666666,437522308.65400004,,436076179.3333333,30963,,446898796.2950001,,447509511
2023-05,표준형_어린이,8076612,,6187941.333333333,395867518.9690001,,387647992.3333333,253229,,406457964.9690001,,394856770
2023-05,표준형_치매간병,4080932.503,,1825028,71026136.68,,71761973,250,,76063847.81300002,,74547261.66666667
2023-05,무저해지형_질병보험,10229231.814999998,,9323744,260514654.15600002,,247635590.66666666,0,,271481717.1,,257931144.66666666
2023-05,무저해지형_상해,879485.8619999997,,5754868.666666667,179549810.15999997,,187541254,12000,,181116530.02199996,,194102849
2023-05,무저해지형_어린이,4944814.846000001,,5508811.666666667,202602299.56200004,,199421290.66666666,61752,,207692287.408,,204988024
2023-05,무저해지형_치매간병,2938327.5549999997,,1227703.3333333333,29330441.365999997,,29284179,13117,,45973039.20500001,,50216931.333333336
2023-06,원리금보장형장기손해보험합계,82723649,,75719024,5200049931,,5175067060.666667,16172272,,5333590672,,5292400052.333333
2023-06,개인보험,82128513,,74850027.66666667,5177398145,,5149665787,16172272,,5310012838,,5265782160.333333
